Scenario,total_cost_mean,total_cost_std,VM_cost_mean,SLA_penalty_mean
1.0_S,143.9524902632821,18.935661329190786,68.79200000000004,75.16049026328207
1.0_M,225.41379126314163,37.2071766735918,130.5602285714286,94.85356269171304
1.0_L,324.93303890912546,65.65225398178943,216.29257142857128,108.64046748055412
1.25_S,124.13528894769817,7.096513993439251,65.57954285714287,58.55574609055527
1.25_M,193.2560608257922,24.064004950034384,117.71131428571435,75.54474654007788
1.25_L,300.19122018506357,76.28937373553885,204.76422857142848,95.42699161363507
1.5_S,121.56168302746676,7.105419927473004,66.14971428571431,55.41196874175247
1.5_M,196.8970915707866,33.403013668225704,121.40000000000006,75.49709157078658
1.5_L,316.2331240972732,99.11658360728714,221.2527999999998,94.98032409727341
1.75_S,118.44553080031392,4.850266868934816,66.55931428571431,51.88621651459962
1.75_M,195.24742238704562,35.828522195314164,123.10845714285718,72.13896524418844
1.75_L,315.83957397850384,92.48264024363917,221.75279999999984,94.08677397850407
2.0_S,113.47589498518936,5.296623328869207,64.28125714285717,49.1946378423322
2.0_M,185.55110852723266,30.66088027813159,116.88674285714288,68.66436567008975
2.0_L,322.01211359469664,110.05209762698331,228.64697142857116,93.36514216612554
2.25_S,110.90044764025785,5.698865446554769,63.48640000000002,47.41404764025782
2.25_M,179.17393959792318,24.5404871626839,113.05657142857149,66.11736816935176
2.25_L,318.1896594245356,112.20782074956058,227.29759999999968,90.89205942453596
